Михаил Федорович - Алексей Михайлович
Алексей Михайлович - Федор Алексеевич
Алексей Михайлович - Софья Алексеевна
Алексей Михайлович - Иоанн V
Алексей Михайлович - Петр I
Иоанн V - Екатерина Иоановна
Иоанн V - Анна Иоановна
Петр I - Алексей Петрович
Петр I - Анна Петровна
Петр I - Елизавета Петровна
Екатерина Иоановна - Анна Леопольдовна
Анна Леопольдовна - Иоанн VI
Алексей Петрович - Петр II
Анна Петровна - Петр III
Петр III - Павел I
Павел I - Александр I
Павел I - Николай I
Николай I - Александр II
Александр II - Александр III
Александр III - Николай II
